id,start,destination,difficulty,blind_paths,blind_input_tokens,blind_output_tokens,link_aware_paths,link_aware_input_tokens,link_aware_output_tokens,external_info_paths,external_info_input_tokens,external_info_output_tokens,tot_paths,tot_input_tokens,tot_output_tokens
Brain_Telephone_0,Brain,Telephone,Medium,"[""Brain"", ""Neural network"", ""Artificial neural network"", ""Machine learning"", ""Artificial intelligence"", ""Speech recognition"", ""Speech"", ""Telephone""]",298,1296,"[""Brain"", ""Psychology"", ""Language"", ""Communication"", ""Telephone""]",2049,1372,"[""Brain"", ""Medicine"", ""Computer"", ""Telephone""]",4911,1445,"[""Brain"", ""Computer_science"", ""Information"", ""Communication"", ""Telephone""]",7213,7764
Theatre_Zebra_0,Theatre,Zebra,Medium,,0,0,"[""Theatre"", ""Aristotle"", ""Biology"", ""Biodiversity"", ""Africa"", ""Carnivore"", ""Animal"", ""Mammal"", ""Zebra""]",5099,4516,"[""Theatre"", ""Dance""]",9505,2280,"[""Theatre"", ""France"", ""Kenya"", ""Africa"", ""Giraffe"", ""Mammal"", ""Zebra""]",22229,15137
Asteroid_Viking_0,Asteroid,Viking,Medium,"[""Asteroid"", ""Minor planet"", ""NASA"", ""NASA program"", ""Viking program""]",300,1267,"[""Asteroid"", ""Earth"", ""Apollo_8"", ""Saturn_V"", ""Mars"", ""Mars_Exploration_Rover"", ""Geology"", ""20th_century"", ""10th_century"", ""Viking""]",5345,6485,"[""Asteroid"", ""Mars"", ""Phoenix_(spacecraft)"", ""Switzerland"", ""Iceland"", ""Viking""]",7445,2790,"[""Asteroid"", ""Mars"", ""Mars_Exploration_Rover"", ""Geology"", ""20th_century"", ""9th_century"", ""Viking""]",29158,31620
Batman_Wood_0,Batman,Wood,Medium,,0,0,"[""Batman"", ""Chemistry"", ""Biology"", ""Botany"", ""Plant"", ""Tree"", ""Wood""]",3327,2618,"[""Batman"", ""Superman""]",9596,4564,"[""Batman"", ""Chemistry"", ""Carbon"", ""Plant"", ""Wood""]",12994,12852
Beer_Sun_0,Beer,Sun,Medium,"[""Beer"", ""Hops"", ""Plant"", ""Sun""]",298,846,,0,0,"[""Beer"", ""Water"", ""Sun""]",3630,1799,"[""Beer"", ""Ethanol"", ""Hydrogen"", ""Sun""]",4068,5396
Batman_Banana_0,Batman,Banana,Medium,,0,0,"[""Batman"", ""Crime"", ""United_States"", ""Agriculture"", ""Fruit"", ""Banana""]",4004,2658,"[""Batman"", ""Spring_Heeled_Jack"", ""Popular_culture"", ""Music"", ""Language"", ""Science"", ""Biology"", ""Plant"", ""Fruit"", ""Banana""]",13448,4688,"[""Batman"", ""Chemistry"", ""Biology"", ""Botany"", ""Fruit"", ""Banana""]",20364,16591
Cat_Computer_0,Cat,Computer,Medium,"[""Cat"", ""Cat (disambiguation)"", ""cat (command)"", ""Unix"", ""Computer""]",298,1530,"[""Cat"", ""Sound"", ""Music"", ""Mathematics"", ""Computer_science"", ""Computer_programming"", ""Linux"", ""Unix"", ""Internet"", ""Microsoft"", ""Computer""]",4730,3784,"[""Cat"", ""Scientific_classification"", ""Apple"", ""United_States"", ""Electronics"", ""Computer""]",9041,3472,"[""Cat"", ""Protein"", ""Computer_science"", ""Alan_Turing"", ""Algorithm"", ""Computer""]",21542,21260
Cat_Microsoft_0,Cat,Microsoft,Medium,,0,0,"[""Cat"", ""Mammal"", ""20th_century"", ""Internet"", ""Microsoft""]",2414,2383,"[""Cat"", ""Color"", ""Art"", ""Mass_media"", ""Technology"", ""Computer_science"", ""Internet"", ""Microsoft""]",10879,4168,"[""Cat"", ""Mammal"", ""20th_century"", ""Internet"", ""Microsoft""]",9636,9290
Dog_Telephone_0,Dog,Telephone,Medium,"[""Dog"", ""Animal communication"", ""Communication"", ""Telephone""]",298,1029,"[""Dog"", ""DNA"", ""Information"", ""Communication"", ""Telephone""]",1927,2141,"[""Dog"", ""Chordate"", ""Animal"", ""Human"", ""Language"", ""Communication"", ""Telephone""]",8765,2983,"[""Dog"", ""English_language"", ""Language"", ""Communication"", ""Telephone""]",9996,6847
Dog_Venus_0,Dog,Venus,Medium,"[""Dog"", ""Mammal"", ""Biology"", ""Earth"", ""Solar System"", ""Venus""]",299,1050,,0,0,"[""Dog"", ""Peru"", ""Amazon_Rainforest""]",15330,8416,,0,0
