id,start,destination,blind_paths,blind_input_tokens,blind_output_tokens,link_aware_paths,link_aware_input_tokens,link_aware_output_tokens,external_info_paths,external_info_input_tokens,external_info_output_tokens,tot_paths,tot_input_tokens,tot_output_tokens,difficulty
Brain_Telephone_0,Brain,Telephone,"[""Brain"", ""Cognitive science"", ""Communication"", ""Telephone""]",298,444,"[""Brain"", ""Computer_science"", ""Internet""]",3036,3312,"[""Brain"", ""Action\u00a0potential""]",1594,855,"[""Brain"", ""Psychology"", ""20th_century"", ""Telephone""]",5870,4869,Medium
Theatre_Zebra_0,Theatre,Zebra,"[""Theatre"", ""Performing arts"", ""Circus"", ""Circus animals"", ""Zebra""]",300,1276,"[""Theatre"", ""France"", ""Kenya"", ""East_Africa"", ""Tanzania"", ""Africa"", ""Zebra""]",5196,2950,"[""Theatre"", ""Dance"", ""Animal"", ""Mammal"", ""Zebra""]",5707,2415,"[""Theatre"", ""Aristotle"", ""Biology"", ""Animal"", ""Mammal"", ""Zebra""]",21112,13881,Medium
Asteroid_Viking_0,Asteroid,Viking,"[""Asteroid"", ""Ceres (dwarf planet)"", ""Dwarf planet"", ""Solar system"", ""Planet"", ""Mars"", ""Viking program"", ""Viking (spacecraft)"", ""Viking""]",300,1711,"[""Asteroid"", ""Mars"", ""Mars_Reconnaissance_Orbiter""]",1986,2631,"[""Asteroid"", ""Mars""]",9018,3280,,0,0,Medium
Batman_Wood_0,Batman,Wood,,0,0,"[""Batman"", ""Scotland""]",5584,5656,"[""Batman"", ""Crime""]",7744,3050,,0,0,Medium
Beer_Sun_0,Beer,Sun,"[""Beer"", ""Hops"", ""Humulus lupulus"", ""Plant"", ""Photosynthesis"", ""Sunlight"", ""Sun""]",298,1333,"[""Beer"", ""Ethanol"", ""Alcohol"", ""Hydrogen"", ""Star"", ""Sun""]",3035,3174,"[""Beer"", ""Water"", ""Solar_System"", ""Sun""]",5046,1895,,0,0,Medium
Batman_Banana_0,Batman,Banana,,0,0,"[""Batman"", ""Chemistry""]",3136,2305,"[""Batman"", ""Crime""]",8572,4753,,0,0,Medium
Cat_Computer_0,Cat,Computer,"[""Cat"", ""Felis\u202fcatus"", ""Mammal"", ""Vertebrate"", ""Animal"", ""Life"", ""Science"", ""Computer\u202fscience"", ""Computer""]",298,539,"[""Cat"", ""Animal"", ""Human""]",3422,2321,"[""Cat"", ""Animal"", ""Scientific_classification""]",9140,2653,,0,0,Medium
Cat_Microsoft_0,Cat,Microsoft,"[""Cat"", ""Felidae"", ""Mammal"", ""Animal"", ""Zoology"", ""Biology"", ""Science"", ""Technology"", ""Computing"", ""Computer"", ""Operating system"", ""Microsoft Windows"", ""Microsoft""]",298,1193,"[""Cat"", ""Animal"", ""Mammal"", ""Human""]",3601,3772,"[""Cat"", ""Color""]",10357,2475,"[""Cat"", ""Mammal"", ""20th_century"", ""Computer"", ""Internet"", ""Microsoft""]",31800,24941,Medium
Dog_Telephone_0,Dog,Telephone,"[""Dog"", ""Canine"", ""Mammal"", ""Vertebrate"", ""Animal"", ""Biology"", ""Science"", ""Technology"", ""Device"", ""Electrical device"", ""Communication device"", ""Telephone""]",298,806,"[""Dog"", ""English_language"", ""Internet""]",3409,5405,"[""Dog"", ""Chordate""]",8534,4114,"[""Dog"", ""English_language"", ""Internet"", ""World_Wide_Web"", ""Telephone""]",9907,6951,Medium
Dog_Venus_0,Dog,Venus,"[""Dog"", ""Mammal"", ""Chordate"", ""Eukaryote"", ""Life"", ""Earth"", ""Solar System"", ""Venus""]",299,1464,"[""Dog"", ""Chocolate""]",3810,5252,"[""Dog"", ""Fossil""]",9467,3197,"[""Dog"", ""Scientific_classification"", ""Plant"", ""Light"", ""Solar_System"", ""Venus""]",19292,20184,Medium
