id,start,destination,blind_paths,blind_input_tokens,blind_output_tokens,link_aware_paths,link_aware_input_tokens,link_aware_output_tokens,external_info_paths,external_info_input_tokens,external_info_output_tokens,tot_paths,tot_input_tokens,tot_output_tokens
Brain_Telephone_0,Brain,Telephone,"[""Brain"", ""Neuron"", ""Action potential"", ""Electrical signal"", ""Telegraph"", ""Telephone""]",298,964,"[""Brain"", ""Computer_science"", ""Internet"", ""Information"", ""Communication"", ""Telephone""]",2464,1727,"[""Brain"", ""Action_potential"", ""Volt"", ""Automobile"", ""United_Kingdom"", ""Television"", ""Telecommunication"", ""Telephone""]",10469,2740,"[""Brain"", ""Algorithm"", ""Computer"", ""Telephone""]",4973,3176
Theatre_Zebra_0,Theatre,Zebra,"[""Theatre"", ""Ancient Greek theatre"", ""Greek mythology"", ""Pegasus (mythology)"", ""Horse"", ""Zebra""]",300,802,,0,0,"[""Theatre"", ""France"", ""Kenya"", ""Lion"", ""Zebra""]",6872,1593,,0,0
Asteroid_Viking_0,Asteroid,Viking,"[""Asteroid"", ""Spacecraft"", ""Viking (spacecraft)""]",300,1558,"[""Asteroid"", ""Mars"", ""Mars_Exploration_Rover"", ""Astronomy"", ""Archaeoastronomy"", ""Mythology"", ""Norse_mythology"", ""Norway"", ""Viking""]",4555,2906,"[""Asteroid"", ""Earth"", ""Norse_mythology""]",7480,2291,"[""Asteroid"", ""Mars"", ""Phoenix_(spacecraft)"", ""Exploration_of_Mars"", ""United_States"", ""Iceland"", ""Viking""]",17543,11061
Batman_Wood_0,Batman,Wood,"[""Batman"", ""DC Comics"", ""Comic book"", ""Paper"", ""Wood""]",298,371,,0,0,"[""Batman"", ""Chemistry"", ""Metal"", ""Carbon"", ""Carbon_dioxide"", ""Plant"", ""Tree"", ""Wood""]",10646,2402,,0,0
Beer_Sun_0,Beer,Sun,"[""Beer"", ""Alcoholic beverage"", ""Alcohol"", ""Energy"", ""Sun""]",298,542,"[""Beer"", ""Barley"", ""Plant"", ""Sunlight"", ""Electromagnetic_radiation"", ""Photon"", ""Ultraviolet"", ""Sun""]",3807,1971,"[""Beer"", ""Carbon_dioxide"", ""Photosynthesis"", ""Heat"", ""Sun""]",6370,1951,,0,0
Batman_Banana_0,Batman,Banana,"[""Batman"", ""Bat (animal)"", ""Fruit bat"", ""Fruit"", ""Banana""]",299,398,"[""Batman"", ""Chemistry"", ""Biology"", ""Plant"", ""Arecaceae"", ""Fruit"", ""Banana""]",3343,1900,"[""Batman"", ""Crime"", ""Culture"", ""Malawi"", ""Agriculture"", ""Fruit"", ""Banana""]",9184,2723,"[""Batman"", ""Scotland"", ""Agriculture"", ""Fruit"", ""Banana""]",15365,7021
Cat_Computer_0,Cat,Computer,"[""Cat"", ""Mouse"", ""Computer mouse"", ""Computer""]",298,264,"[""Cat"", ""Evolution"", ""Computer""]",1243,680,"[""Cat"", ""Sound"", ""Music"", ""Language"", ""Computer_science"", ""Computer_programming"", ""Microsoft"", ""Computer""]",8794,2098,"[""Cat"", ""Evolution"", ""Computer""]",1751,1242
Cat_Microsoft_0,Cat,Microsoft,"[""Cat"", ""Unix"", ""Microsoft Windows"", ""Microsoft""]",298,726,,0,0,"[""Cat"", ""Eye"", ""Light"", ""Sound"", ""Music"", ""Language"", ""Computer_science"", ""Internet"", ""Microsoft""]",11555,3480,"[""Cat"", ""Evolution"", ""Computer"", ""Microsoft_Windows"", ""Microsoft""]",10365,5518
Dog_Telephone_0,Dog,Telephone,"[""Dog"", ""Human"", ""Telephone""]",298,504,"[""Dog"", ""Postage_stamp"", ""United_States"", ""Electronics"", ""Telephone""]",3405,1605,"[""Dog"", ""Postage_stamp"", ""United_States"", ""Television"", ""Telecommunication"", ""Internet"", ""Information"", ""Communication"", ""Telephone""]",13347,3426,"[""Dog"", ""Animal"", ""Human"", ""Communication"", ""Telephone""]",10591,5778
Dog_Venus_0,Dog,Venus,"[""Dog"", ""Sirius (dog star)"", ""Astronomy"", ""Planet"", ""Venus""]",299,390,"[""Dog"", ""North_America"", ""Earth"", ""Solar_System"", ""Venus""]",2874,1755,,0,0,"[""Dog"", ""Chocolate"", ""Maya_civilization"", ""Maya_mythology"", ""Venus""]",9144,5149
